rowid,fpl_orbper,fpl_smax,fpl_bmasse,fpl_rade,fpl_dens,fpl_tranflag,fpl_cbflag,fpl_snum,dec,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age,cos_simil,weighted_simil,cluster
80,3.6313,0.048,889.9,11.77,3.0,1,0,1,4.357806,5900.0,4.3,0.087,1.14,1.61,0.05,0,7.2,0.9780893519132652,0.958866515476642,0
81,5.1134,0.055999999999999994,5.7,3.7,0.9,1,0,1,-3.719301,4950.0,4.55,-0.601,0.91,0.86,0.3,0,11.0,0.9540674688289581,0.9134518972911333,0
82,11.759,0.098,28.0,5.0,1.3,1,0,1,-3.719301,4950.0,4.55,-0.601,0.91,0.86,0.3,0,11.0,0.9538564734886916,0.9131740612502194,0
83,4.86069,0.0578,85.81,12.11,0.15,1,0,1,6.513829,6040.0,4.31,0.141,1.09,1.19,-0.01,0,4.5,0.9852420486542456,0.9759176402224663,0
84,4.20474,0.0526,165.26,14.12,0.28,1,0,1,6.969786999999998,5590.0,3.99,0.451,1.09,1.79,0.01,0,8.6,0.9627109058779335,0.9306432667915345,0
85,3.5753199999999996,0.0476,3302.11,11.287,12.6,1,0,1,5.538462,5900.0,4.4,-0.166,1.05,1.08,-0.1,1,4.21,0.8380929876200832,0.9183125487688308,0
86,5.2085099999999995,0.0603,153.82972,10.705,0.69,1,0,1,5.57373,5150.0,3.6,0.388,1.01,1.78,0.15,0,12.0,0.9256591673204582,0.8655433139272023,0
87,2.8505700000000003,0.0386,270.1555,10.088,1.45,1,0,1,6.4796510000000005,5260.0,4.3,-0.34700000000000003,0.97,0.9,0.2,0,4.5,0.983054410610119,0.9756334549945292,0
88,4.2568,0.057829999999999986,6883.91,11.32,26.4,1,0,1,0.12182,6740.0,4.22,0.391,1.37,1.56,0.14,0,2.2,0.97561535304978,0.9579909422951846,0
89,9.20205,0.09,228.83,13.34,0.525,1,0,1,-0.672774,6190.0,4.41,0.185,1.16,1.17,0.15,0,1.0,0.9727960061569235,0.9469611405955235,0
90,4.0378962,0.04947,148.42,15.558,0.217,1,0,1,0.815239,6100.0,4.19,0.223,1.0,1.19,-0.25,1,6.9,0.8244702812557777,0.8940374667004682,0
91,8.886593,0.0855,940.74,13.068,2.32,1,0,1,6.663194,6090.0,4.43,0.026,1.05,1.02,-0.2,0,2.5,0.9829206112589222,0.9704574365079082,0
92,0.85359163,0.017016,3.1783,1.681,6.61,1,0,1,-1.063033,5275.0,4.5,-0.292,0.82,0.83,0.05,0,1.75,0.985998120157971,0.9742276042027161,0
93,3.698,0.046,8.4,2.83,2.04,0,0,1,-1.063033,5275.0,4.5,-0.292,0.82,0.83,0.05,0,1.75,0.8144005921908369,0.9193337616920628,1
94,6.21229,0.063,69.92,6.39,1.6,1,0,1,1.426452,5080.0,4.58,-0.665,0.88,0.77,0.3,1,3.0,0.8434533902236804,0.9167409504831241,0
95,95.27265600000001,0.4021,266.9772,11.949000000000002,0.86,1,0,1,6.204172,5625.0,4.54,-0.254,0.96,0.96,-0.01,0,6.0,0.9870833845502763,0.9758353233375556,0
96,6.718369999999999,0.071,47.6745,6.3889999999999985,1.1,1,0,1,9.257431,5970.0,4.67,-0.155,1.08,0.79,0.0,0,4.236718483690839,0.9935765788141353,0.9883163647266087,0
97,4098.1,5.75,3823.2733,12.4,11.0,0,1,2,45.546303,3585.67,4.354839473684218,-0.07515228426395948,0.51,1.5409463240905692,0.011107881644409444,0,4.236718483690839,0.6447126403829885,0.683261464041132,1
98,246.36,0.36,9057.77,11.9,29.5,0,0,1,-49.20035900000001,5488.212277202725,4.354839473684218,-0.07515228426395948,0.07,1.5409463240905692,0.011107881644409444,0,1.0,0.7725753651740219,0.8695014570498497,1
99,2319.5392238828044,330.0,3496.0,30.264,0.693,0,0,1,26.54952,3751.5,4.354839473684218,-0.569,0.33,0.27,0.011107881644409444,0,0.001,0.7637074642014142,0.8349561899697665,1
100,10220.0,8.19,1995.88832,12.7,5.35,0,1,2,17.961417,13500.0,4.354839473684218,-2.4,0.69,0.01,0.011107881644409444,0,4.236718483690839,0.6052320676843272,0.6280171008423499,1
101,8.138268,6.1761086775078455,413.17900000000003,5.7,4.3812565360303335,1,0,2,-69.195747,5428.0,4.6,-0.14,1.01,0.96,0.0,0,0.045,0.909957085314387,0.8395146774775565,0
102,28.1656,6.1761086775078455,4.16,1.87,3.5,1,0,1,-3.389389,3588.0,4.354839473684218,-0.07515228426395948,0.41,1.5409463240905692,0.011107881644409444,0,4.236718483690839,0.9897769674303972,0.9877869382242731,0
