"rowid","fpl_hostname","fpl_name","fpl_disc","fpl_orbper","fpl_rads","fst_dist","fst_logg","cluster","simil"
"1389","Kepler-1026","Kepler-1026 b","2016","36.5156053","0.02","389","4.59","0","0.9913562328363592"
"1390","Kepler-1027","Kepler-1027 b","2016","1.9078052","0.008","291","4.57","0","0.9832842328409325"
"1391","Kepler-1028","Kepler-1028 b","2016","2.51462432","0.012","633","4.52","0","0.9872657837565728"
"1392","Kepler-1029","Kepler-1029 b","2016","4.41769648","0.012","422","4.58","0","0.9906616222768521"
"1393","Kepler-103","Kepler-103 b","2014","15.9654","0.031","501.93","4.16","0","0.9817153232266131"
"1394","Kepler-103","Kepler-103 c","2014","179.612","0.047","501.93","4.16","0","0.9813950144087511"
"1395","Kepler-1030","Kepler-1030 b","2016","19.32952416","0.023","795","4.59","0","0.9898160177952644"
"1396","Kepler-1031","Kepler-1031 b","2016","1.22621732","0.008","741","4.38","0","0.9843383409755639"
"1397","Kepler-1032","Kepler-1032 b","2016","3.29011795","0.017","607","4.62","0","0.9846144295972911"
"1398","Kepler-1033","Kepler-1033 b","2016","7.56052806","0.023","1425","4.49","0","0.9883196330611966"
"1399","Kepler-1034","Kepler-1034 b","2016","12.12400943","0.021","706","4.57","0","0.9915292760462802"
"1400","Kepler-1035","Kepler-1035 b","2016","2.71407755","0.011000000000000001","408","4.45","0","0.988344495376389"
"1401","Kepler-1036","Kepler-1036 b","2016","122.8808058","0.027999999999999997","507","4.52","0","0.9862323305692164"
"1402","Kepler-1037","Kepler-1037 b","2016","1.06378867","0.012","451","4.57","0","0.9889814422381662"
"1403","Kepler-1038","Kepler-1038 b","2016","148.4603382","0.032","622","4.55","0","0.9895815144853742"
"1404","Kepler-1039","Kepler-1039 b","2016","0.93488424","0.013000000000000001","324","4.6","0","0.9899531561150805"
"1405","Kepler-104","Kepler-104 b","2014","11.427548","0.027999999999999997","405.42","4.11","0","0.9800990224938435"
"1406","Kepler-104","Kepler-104 c","2014","23.668205","0.028999999999999998","405.42","4.11","0","0.9800940402582968"
"1407","Kepler-104","Kepler-104 d","2014","51.755394","0.033","405.42","4.11","0","0.980027295822343"
"1408","Kepler-1040","Kepler-1040 b","2016","201.1214","0.019","473","4.47","0","0.9872973415522482"
"1409","Kepler-1041","Kepler-1041 b","2016","24.7576421","0.027000000000000003","979","4.4","0","0.984254996893014"
"1410","Kepler-1042","Kepler-1042 b","2016","10.13202575","0.02","659","4.61","0","0.9913413935087729"
"1411","Kepler-1043","Kepler-1043 b","2016","38.5053398","0.023","838","4.5","0","0.987379187470254"
